CustomerID,LastPurchaseDate,Status
1000,2024-12-13,Active
1001,2024-11-07,Active
1002,2024-02-27,Churned
1003,2024-03-21,Churned
1004,2024-11-05,Active
1005,2024-06-09,Churned
1006,2024-09-07,Churned
1007,2024-07-13,Churned
1008,2024-12-12,Active
1009,2024-08-10,Churned
1010,2024-04-26,Churned
1012,2024-11-14,Active
1013,2024-10-28,Churned
1014,2024-01-10,Churned
1015,2024-06-21,Churned
1016,2024-04-24,Churned
1017,2024-02-18,Churned
1018,2024-11-16,Active
1019,2024-12-20,Active
1020,2023-02-26,Churned
1022,2024-08-22,Churned
1023,2024-12-19,Active
1024,2024-12-21,Active
1025,2024-12-14,Active
1026,2024-11-17,Active
1027,2024-06-29,Churned
1028,2024-12-17,Active
1029,2024-11-24,Active
1030,2024-12-25,Active
1031,2024-11-09,Active
1032,2024-09-12,Churned
1033,2024-02-03,Churned
1035,2024-09-30,Churned
1036,2023-09-08,Churned
1037,2024-07-31,Churned
1038,2024-03-15,Churned
1039,2024-08-17,Churned
1040,2023-02-07,Churned
1041,2024-10-15,Churned
1042,2024-07-29,Churned
1043,2024-03-24,Churned
1044,2024-03-06,Churned
1045,2024-09-30,Churned
1046,2024-10-18,Churned
1047,2023-11-24,Churned
1048,2024-10-30,Churned
1049,2023-12-27,Churned
1050,2024-12-29,Active
1051,2024-03-13,Churned
1052,2024-01-02,Churned
1053,2024-11-08,Active
1054,2023-12-25,Churned
1055,2023-10-11,Churned
1056,2024-08-31,Churned
1057,2024-08-20,Churned
1058,2024-12-12,Active
1059,2023-11-18,Churned
1060,2024-05-23,Churned
1061,2024-10-15,Churned
1062,2023-07-30,Churned
1063,2024-10-17,Churned
1064,2024-08-16,Churned
1066,2024-10-07,Churned
1067,2024-10-31,Churned
1068,2024-10-03,Churned
1069,2024-11-22,Active
1070,2024-09-13,Churned
1071,2024-11-20,Active
1072,2024-02-06,Churned
1073,2024-10-28,Churned
1074,2024-08-14,Churned
1075,2023-08-12,Churned
1076,2023-08-05,Churned
1077,2024-09-07,Churned
1078,2024-12-18,Active
1079,2024-10-14,Churned
1080,2024-10-19,Churned
1081,2023-12-11,Churned
1082,2024-11-06,Active
1083,2024-06-06,Churned
1084,2024-01-22,Churned
1085,2024-08-06,Churned
1086,2024-10-19,Churned
1087,2023-08-31,Churned
1088,2024-09-20,Churned
1089,2024-10-09,Churned
1090,2024-05-21,Churned
1091,2024-10-20,Churned
1092,2024-12-05,Active
1093,2024-04-12,Churned
1094,2024-12-25,Active
1095,2024-08-28,Churned
1096,2024-07-19,Churned
1097,2024-05-11,Churned
1098,2024-05-12,Churned
1099,2024-10-23,Churned
1100,2024-06-05,Churned
1101,2024-07-03,Churned
1102,2024-11-08,Active
1103,2024-11-03,Active
1105,2024-07-15,Churned
1106,2024-01-09,Churned
1107,2024-11-28,Active
1108,2024-05-21,Churned
1109,2024-10-20,Churned
1110,2023-12-12,Churned
1111,2023-05-08,Churned
1112,2024-06-06,Churned
1113,2024-12-18,Active
1114,2024-11-12,Active
1115,2023-09-05,Churned
1117,2023-08-28,Churned
1118,2024-09-23,Churned
1119,2024-10-04,Churned
1120,2024-03-20,Churned
1121,2023-12-04,Churned
1122,2024-07-01,Churned
1123,2023-10-27,Churned
1124,2024-12-08,Active
1125,2024-09-16,Churned
1126,2024-02-12,Churned
1128,2024-10-10,Churned
1129,2024-02-22,Churned
1131,2023-08-17,Churned
1132,2023-11-12,Churned
1133,2023-08-03,Churned
1134,2024-08-11,Churned
1135,2024-06-15,Churned
1136,2024-10-15,Churned
1137,2024-05-15,Churned
1138,2024-10-24,Churned
1139,2024-10-26,Churned
1140,2024-06-18,Churned
1141,2023-11-21,Churned
1142,2023-11-27,Churned
1143,2024-07-18,Churned
1144,2024-06-18,Churned
1145,2024-01-07,Churned
1146,2024-12-16,Active
1147,2024-11-16,Active
1148,2024-05-12,Churned
1149,2024-12-18,Active
1150,2024-01-24,Churned
1151,2024-11-21,Active
1152,2024-06-23,Churned
1153,2024-12-14,Active
1154,2024-05-17,Churned
1155,2024-08-25,Churned
1156,2024-08-25,Churned
1157,2024-02-10,Churned
1158,2024-04-15,Churned
1159,2024-12-11,Active
1160,2023-06-24,Churned
1161,2024-12-07,Active
1162,2024-12-10,Active
1163,2024-12-03,Active
1164,2024-07-07,Churned
1165,2024-03-01,Churned
1166,2024-08-12,Churned
1167,2023-02-25,Churned
1168,2024-06-21,Churned
1169,2024-11-27,Active
1170,2023-09-21,Churned
1171,2023-10-13,Churned
1172,2024-05-15,Churned
1173,2023-07-31,Churned
1174,2024-03-08,Churned
1175,2024-09-23,Churned
1176,2024-12-05,Active
1177,2023-10-29,Churned
1178,2024-11-25,Active
1179,2024-07-27,Churned
1180,2024-11-20,Active
1181,2024-08-08,Churned
1182,2023-02-28,Churned
1183,2023-09-23,Churned
1184,2024-08-23,Churned
1185,2023-07-22,Churned
1186,2024-12-21,Active
1187,2023-09-25,Churned
1188,2024-12-02,Active
1189,2024-10-15,Churned
1190,2024-11-16,Active
1191,2024-11-27,Active
1192,2024-09-10,Churned
1193,2024-12-05,Active
1194,2024-05-19,Churned
1195,2023-08-05,Churned
1196,2024-04-10,Churned
1197,2024-11-02,Active
1198,2024-06-14,Churned
1199,2024-11-08,Active
1200,2024-11-02,Active
1201,2023-08-16,Churned
1203,2024-10-23,Churned
1204,2024-11-21,Active
1205,2024-08-02,Churned
1206,2024-07-13,Churned
1207,2024-10-19,Churned
1208,2023-12-26,Churned
1209,2024-08-01,Churned
1210,2024-03-03,Churned
1211,2024-05-08,Churned
