ds,yhat,yhat_lower,yhat_upper
2023-01-01,72388.02577154044,47943.90849924292,97838.9345067248
2023-01-02,68953.81811369983,45300.5490747601,94593.89058679553
2023-01-03,69975.98705318586,46178.26677647894,95501.89646045715
2023-01-04,69006.35006939426,44914.85539116806,92433.98953083162
2023-01-05,67175.47055215573,44082.94091369834,93149.75662408197
2023-01-06,68473.19275199171,43324.54294788653,92047.9783830212
2023-01-07,65305.85214142866,38784.388745804754,90063.22778219893
2023-01-08,66872.20971672544,42545.950714941035,92245.15620213693
2023-01-09,63631.27998931658,37818.47411930839,88890.55984770594
2023-01-10,64918.303722301534,38689.28499911331,88725.97364537464
2023-01-11,64279.30659098297,36737.86501984031,88553.28951615124
2023-01-12,62838.111233524105,38120.517333367185,87491.28970485656
2023-01-13,64577.01678859008,39815.96744778975,87980.82739894536
2023-01-14,61894.163937521684,38136.83017301882,87754.7393568381
2023-01-15,63979.63067052006,39615.620516064424,90088.32984510601
2023-01-16,61283.42520907799,35007.92888786457,85640.07164325201
2023-01-17,63131.623888923954,40185.13919452151,87978.58981139598
2023-01-18,63061.092061840194,36871.33178731317,85102.96806860463
2023-01-19,62186.652552828404,37259.35838699388,87144.8556925413
2023-01-20,64481.913082237355,39205.59564618635,88884.51145275979
2023-01-21,62336.768271579596,38882.99444598935,88389.16238101812
2023-01-22,64933.619376110895,39020.600010190334,87861.94061051056
2023-01-23,62715.47645032818,38630.48147314951,87397.23727881334
2023-01-24,65002.18939122242,41536.80986572023,91677.73681107766
2023-01-25,65325.2449398228,41740.46669305552,91354.65870734048
2023-01-26,64794.99353754976,38362.60374445331,88916.61832987706
2023-01-27,67381.5172634636,41828.927990054246,93358.25970773547
2023-01-28,65472.15451623248,41162.51465592758,90164.51017461748
2023-01-29,68247.72504518084,43631.59840851581,90283.84847150186
2023-01-30,66150.62075980743,43221.353117693034,90443.67249540555
2023-01-31,68501.00975576784,41436.953450734196,92528.37991116477
2023-02-01,68831.59185310378,44141.996207682314,91526.18711845855
2023-02-02,68254.7709839342,44195.511639041724,92795.54909761918
2023-02-03,70743.4571547495,44561.29848974185,96030.4979155464
2023-02-04,68688.51537660045,43157.52294779879,94649.31374925085
2023-02-05,71274.90687699607,45874.936194352435,96216.71061126476
2023-02-06,68949.68980138106,43981.02413621632,94208.28775642342
2023-02-07,71038.12861411809,46300.38519346187,95803.67305538294
2023-02-08,71078.35223340527,46094.80949091687,96868.55696274905
2023-02-09,70188.42791618391,44746.40856965813,94323.32464731522
2023-02-10,72347.0652122562,51403.720942888445,98628.23763791187
2023-02-11,69950.96887176158,45179.93892078018,94791.29155799764
2023-02-12,72190.88739037469,47048.40589571834,97368.4104617914
2023-02-13,69519.52564001025,43418.34966525593,94017.6733067827
2023-02-14,71267.57189519325,46385.31838800185,94856.34817865487
2023-02-15,70978.28024651836,46210.93700073058,96232.70221275778
2023-02-16,69774.47622798766,44598.02772098038,92874.48329229378
2023-02-17,71639.20064549027,46979.333745917414,96069.34809066294
2023-02-18,68973.01102674272,42351.434653938115,91627.14920260082
2023-02-19,70969.98770855798,45697.59037174024,96399.637707553
2023-02-20,68085.61338269114,43501.16124509582,91937.19893441598
2023-02-21,69652.77642716834,45973.79925351879,94684.32274838827
2023-02-22,69216.3390868027,44727.5030047311,95256.20687084146
2023-02-23,67900.13822070521,43855.41049973993,91122.87658297764
2023-02-24,69687.63340030621,44557.41081007852,95167.76104830152
2023-02-25,66979.22146370242,44622.18480736978,90710.40859748435
2023-02-26,68968.26420177381,43564.57937386575,95133.71242450729
2023-02-27,66108.99739333929,41782.02985003884,90619.5648021563
2023-02-28,67732.5710586667,42346.84952910573,92965.02702931307
2023-03-01,67381.66128218267,41963.62895294358,92421.6143476396
2023-03-02,66177.52060204522,41384.073612882006,92833.47113708695
2023-03-03,68100.68094583643,44640.688179628545,95223.98570741255
2023-03-04,65548.32734742103,40950.91591904503,89229.86071085016
2023-03-05,67710.38818811534,41690.0526387846,91416.30634841432
2023-03-06,65037.509194384824,42251.04252935906,89533.96507517424
2023-03-07,66857.16003148521,40947.5378037176,90000.5325308856
2023-03-08,66708.31277994323,42141.64310766212,91546.42877161993
2023-03-09,65708.5582071372,40639.45383889886,90497.47951566766
2023-03-10,67834.87272010898,43794.607619158196,93140.80129295321
2023-03-11,65481.05314956402,41667.65531499513,90454.01128982982
2023-03-12,67833.86404984404,43492.00036480641,93387.86289883852
2023-03-13,65341.06373363868,38515.86602020346,89815.0301013227
2023-03-14,67327.55692536444,41912.86257915371,91757.02112678037
2023-03-15,67330.1124683534,41972.45038880324,91338.67008473261
2023-03-16,66464.51122698568,42043.47029290644,92077.55258824246
