InvoiceID,Date,Region,State,City,Distributor,RetailerType,Product,Category,UnitsSold,UnitPrice,DiscountPct,Revenue,ReturnPct,SalesRep,CustomerType,CustomerID
INV005972,2023-01-01,North,Delhi,New Delhi,Distributor_4,Hypermarket,7UP 500ml,Beverage,86,30.85,5,2520.56,1,Rep_19,Returning,1075
INV001038,2023-01-01,West,Madhya Pradesh,Bhopal,Distributor_14,Hypermarket,Quaker Oats 1kg,Grocery,64,176.47,0,11293.9,0,Rep_13,New,4295
INV002178,2023-01-01,West,Maharashtra,Pune,Distributor_1,HoReCa,Lays Masala 52g,Snack,254,19.53,0,4960.24,3,Rep_19,Returning,3568
INV002594,2023-01-01,South,Kerala,Thiruvananthapuram,Distributor_9,Supermarket,Mirinda 500ml,Beverage,50,29.85,5,1417.8,1,Rep_18,New,3502
INV003253,2023-01-01,West,Madhya Pradesh,Bhopal,Distributor_13,Kirana,Quaker Oats 1kg,Grocery,62,180.31,5,10620.19,0,Rep_20,New,4863
INV002641,2023-01-01,South,Tamil Nadu,Madurai,Distributor_11,Supermarket,Mirinda 500ml,Beverage,43,31.05,5,1268.49,0,Rep_8,Returning,4232
INV003728,2023-01-01,West,Rajasthan,Jodhpur,Distributor_14,Supermarket,7UP 500ml,Beverage,177,30.83,5,5183.91,1,Rep_16,New,3541
INV003693,2023-01-01,West,Maharashtra,Nagpur,Distributor_8,HoReCa,7UP 500ml,Beverage,119,30.09,10,3222.71,0,Rep_3,New,4889
INV006831,2023-01-01,South,Kerala,Thiruvananthapuram,Distributor_6,Supermarket,Tropicana Mixed Fruit 1L,Juice,72,118.38,0,8523.36,0,Rep_7,New,4918
INV000395,2023-01-01,West,Gujarat,Surat,Distributor_4,HoReCa,Pepsi 1.25L,Beverage,96,68.88,0,6612.74,2,Rep_3,New,3993
INV003571,2023-01-01,West,Gujarat,Vadodara,Distributor_10,Kirana,Quaker Oats 1kg,Grocery,43,179.71,5,7341.32,3,Rep_15,New,1646
INV002066,2023-01-01,South,Telangana,Warangal,Distributor_5,HoReCa,Tropicana Mixed Fruit 1L,Juice,65,118.65,0,7712.36,5,Rep_3,Returning,4976
INV000820,2023-01-01,East,West Bengal,Kolkata,Distributor_3,Supermarket,Quaker Oats 1kg,Grocery,29,186.51,0,5408.79,0,Rep_15,Returning,2514
INV003660,2023-01-02,West,Gujarat,Vadodara,Distributor_3,Kirana,Mirinda 500ml,Beverage,150,29.87,10,4032.3,2,Rep_19,Returning,1311
INV007266,2023-01-02,North,Uttar Pradesh,Lucknow,Distributor_14,Hypermarket,Mirinda 500ml,Beverage,32,31.41,2,984.99,2,Rep_9,Returning,4497
INV006069,2023-01-02,East,Odisha,Bhubaneswar,Distributor_13,Kirana,Kurkure Masala 55g,Snack,20,19.27,0,385.5,0,Rep_15,New,1331
INV000663,2023-01-02,South,Kerala,Thiruvananthapuram,Distributor_9,Kirana,Tropicana Orange 1L,Juice,21,114.79,5,2290.0,0,Rep_16,Returning,4878
INV006916,2023-01-02,West,Madhya Pradesh,Bhopal,Distributor_10,HoReCa,Quaker Oats 1kg,Grocery,24,180.3,0,4327.3,0,Rep_15,New,1687
INV008866,2023-01-02,West,Madhya Pradesh,Indore,Distributor_5,Supermarket,Lays Classic 52g,Snack,282,19.5,2,5387.81,0,Rep_14,New,3025
INV005029,2023-01-02,East,Bihar,Patna,Distributor_1,Kirana,Tropicana Orange 1L,Juice,21,112.45,2,2314.24,3,Rep_8,New,2110
INV003509,2023-01-02,South,Tamil Nadu,Chennai,Distributor_15,Kirana,Lays Classic 52g,Snack,93,19.06,15,1506.78,0,Rep_4,New,2640
INV008794,2023-01-02,West,Madhya Pradesh,Indore,Distributor_1,Supermarket,Lays Masala 52g,Snack,197,19.02,5,3560.43,0,Rep_4,New,3099
INV007274,2023-01-02,South,Tamil Nadu,Chennai,Distributor_13,HoReCa,Pepsi 1.25L,Beverage,11,67.71,5,707.58,1,Rep_15,Returning,2742
INV005263,2023-01-02,North,Punjab,Amritsar,Distributor_5,HoReCa,7UP 500ml,Beverage,133,31.07,0,4132.67,2,Rep_17,New,4579
INV010520,2023-01-02,East,Bihar,Patna,Distributor_11,Hypermarket,7UP 500ml,Beverage,106,28.76,10,2743.7,0,Rep_1,New,4286
INV008124,2023-01-02,West,Rajasthan,Jaipur,Distributor_3,Kirana,Tropicana Mixed Fruit 1L,Juice,77,114.74,0,8835.12,0,Rep_7,Returning,4909
INV004854,2023-01-02,North,Haryana,Gurugram,Distributor_7,Kirana,7UP 500ml,Beverage,115,30.84,0,3547.05,2,Rep_14,Returning,4965
INV007013,2023-01-03,West,Madhya Pradesh,Bhopal,Distributor_6,Kirana,Lays Masala 52g,Snack,192,20.32,0,3901.59,0,Rep_20,Returning,2552
INV004445,2023-01-03,East,West Bengal,Siliguri,Distributor_1,Hypermarket,Kurkure Masala 55g,Snack,277,20.46,2,5554.13,1,Rep_7,Returning,1242
INV006483,2023-01-03,South,Telangana,Hyderabad,Distributor_11,Kirana,Pepsi 500ml,Beverage,42,34.08,0,1431.52,3,Rep_18,Returning,3467
INV004510,2023-01-03,East,West Bengal,Siliguri,Distributor_2,Hypermarket,Tropicana Orange 1L,Juice,54,105.55,0,5699.55,3,Rep_1,Returning,1812
INV010850,2023-01-03,West,Maharashtra,Nagpur,Distributor_14,Kirana,Lays Masala 52g,Snack,121,20.37,10,2218.0,2,Rep_14,New,1058
INV011887,2023-01-03,East,Bihar,Gaya,Distributor_12,Hypermarket,Kurkure Masala 55g,Snack,45,20.43,0,919.43,2,Rep_12,Returning,2477
INV000194,2023-01-03,South,Kerala,Thiruvananthapuram,Distributor_3,Kirana,Tropicana Mixed Fruit 1L,Juice,49,112.55,2,5404.81,0,Rep_15,New,1423
INV001825,2023-01-04,South,Karnataka,Bengaluru,Distributor_12,Kirana,Pepsi 1.25L,Beverage,130,69.72,10,8157.41,3,Rep_13,Returning,2156
INV011432,2023-01-04,West,Maharashtra,Mumbai,Distributor_4,Hypermarket,Lays Masala 52g,Snack,251,19.02,0,4773.42,0,Rep_1,Returning,4945
INV011279,2023-01-04,East,West Bengal,Kolkata,Distributor_5,Supermarket,Tropicana Orange 1L,Juice,26,113.66,0,2955.21,0,Rep_2,Returning,3480
INV003942,2023-01-04,North,Delhi,New Delhi,Distributor_7,Kirana,Tropicana Mixed Fruit 1L,Juice,45,120.47,2,5312.59,1,Rep_9,New,2974
INV011532,2023-01-04,North,Haryana,Faridabad,Distributor_13,HoReCa,Mirinda 500ml,Beverage,19,31.48,15,508.34,2,Rep_9,Returning,4701
INV005958,2023-01-04,East,Odisha,Cuttack,Distributor_6,Hypermarket,Lays Masala 52g,Snack,269,19.84,0,5337.21,0,Rep_16,New,2598
INV003019,2023-01-04,North,Haryana,Gurugram,Distributor_3,HoReCa,Tropicana Mixed Fruit 1L,Juice,59,117.48,10,6238.08,3,Rep_3,New,1121
INV008888,2023-01-04,North,Haryana,Gurugram,Distributor_1,Kirana,Pepsi 1.25L,Beverage,154,72.26,2,10904.73,2,Rep_12,New,1520
INV007879,2023-01-04,East,Bihar,Gaya,Distributor_7,HoReCa,Tropicana Orange 1L,Juice,69,112.54,2,7610.04,0,Rep_7,Returning,3833
INV003459,2023-01-04,North,Punjab,Ludhiana,Distributor_5,Supermarket,Pepsi 1.25L,Beverage,103,67.82,0,6985.58,0,Rep_14,New,2971
INV000944,2023-01-04,East,West Bengal,Kolkata,Distributor_11,Kirana,Tropicana Orange 1L,Juice,22,108.23,0,2380.99,0,Rep_13,New,2794
INV008702,2023-01-04,West,Maharashtra,Mumbai,Distributor_10,Supermarket,Mirinda 500ml,Beverage,131,29.56,10,3484.76,0,Rep_19,New,4064
INV003351,2023-01-04,North,Haryana,Faridabad,Distributor_12,Supermarket,Kurkure Masala 55g,Snack,188,19.49,2,3589.99,0,Rep_5,Returning,4725
INV009801,2023-01-04,East,Bihar,Gaya,Distributor_11,Hypermarket,Pepsi 500ml,Beverage,190,33.88,2,6309.14,0,Rep_13,Returning,2027
INV011226,2023-01-04,North,Punjab,Amritsar,Distributor_13,HoReCa,Lays Classic 52g,Snack,37,19.44,5,683.31,0,Rep_8,Returning,3809
INV011882,2023-01-04,East,West Bengal,Siliguri,Distributor_4,Supermarket,Kurkure Masala 55g,Snack,68,20.8,10,1272.78,1,Rep_12,Returning,1508
INV006727,2023-01-04,West,Rajasthan,Jodhpur,Distributor_6,Hypermarket,Pepsi 1.25L,Beverage,161,69.1,2,10903.01,3,Rep_20,Returning,1614
INV009542,2023-01-04,East,West Bengal,Kolkata,Distributor_15,Hypermarket,Pepsi 1.25L,Beverage,115,68.73,0,7904.22,5,Rep_16,Returning,1435
INV008729,2023-01-05,North,Haryana,Gurugram,Distributor_3,Kirana,Lays Classic 52g,Snack,108,19.35,5,1985.21,0,Rep_3,Returning,4927
INV010910,2023-01-05,South,Karnataka,Mysuru,Distributor_4,Kirana,Quaker Oats 1kg,Grocery,30,176.36,2,5184.89,3,Rep_3,New,2608
INV004028,2023-01-05,South,Karnataka,Bengaluru,Distributor_5,Kirana,Lays Masala 52g,Snack,176,19.86,2,3425.46,0,Rep_4,Returning,1455
INV001534,2023-01-05,South,Tamil Nadu,Coimbatore,Distributor_10,Kirana,Kurkure Masala 55g,Snack,96,19.26,2,1812.04,0,Rep_11,Returning,1759
INV010982,2023-01-05,South,Telangana,Warangal,Distributor_14,Supermarket,Tropicana Orange 1L,Juice,14,113.96,5,1515.66,2,Rep_18,Returning,3319
INV000094,2023-01-05,South,Kerala,Thiruvananthapuram,Distributor_9,Hypermarket,Tropicana Orange 1L,Juice,37,109.78,5,3858.91,5,Rep_14,New,4055
INV001653,2023-01-05,South,Tamil Nadu,Madurai,Distributor_2,Supermarket,Mirinda 500ml,Beverage,197,30.34,0,5976.29,0,Rep_9,New,1730
INV008976,2023-01-05,East,Bihar,Patna,Distributor_5,HoReCa,Pepsi 1.25L,Beverage,133,72.49,2,9448.09,0,Rep_4,New,1054
INV009987,2023-01-05,West,Madhya Pradesh,Bhopal,Distributor_1,Supermarket,Tropicana Mixed Fruit 1L,Juice,61,114.14,2,6823.44,0,Rep_10,Returning,3340
INV011240,2023-01-05,North,Uttar Pradesh,Kanpur,Distributor_15,Supermarket,Lays Masala 52g,Snack,160,20.84,0,3334.68,0,Rep_12,New,2246
INV000134,2023-01-05,North,Punjab,Amritsar,Distributor_7,Supermarket,Lays Masala 52g,Snack,97,19.72,2,1874.36,2,Rep_8,New,3175
INV005573,2023-01-05,West,Rajasthan,Udaipur,Distributor_14,Hypermarket,Lays Masala 52g,Snack,288,19.45,2,5490.69,1,Rep_5,Returning,2674
INV002981,2023-01-05,North,Haryana,Gurugram,Distributor_11,Hypermarket,Kurkure Masala 55g,Snack,133,19.52,10,2336.52,0,Rep_11,Returning,1386
INV011669,2023-01-05,West,Maharashtra,Mumbai,Distributor_8,Kirana,Lays Classic 52g,Snack,111,20.74,0,2301.9,0,Rep_7,New,4604
INV003242,2023-01-05,East,Odisha,Bhubaneswar,Distributor_15,Supermarket,Quaker Oats 1kg,Grocery,11,188.15,15,1759.22,0,Rep_7,Returning,2313
INV009541,2023-01-05,South,Tamil Nadu,Chennai,Distributor_9,HoReCa,Quaker Oats 1kg,Grocery,10,173.4,2,1699.27,0,Rep_5,Returning,2069
INV006030,2023-01-05,West,Madhya Pradesh,Bhopal,Distributor_7,HoReCa,Pepsi 500ml,Beverage,166,34.01,0,5644.9,0,Rep_16,Returning,1537
INV009370,2023-01-05,West,Rajasthan,Udaipur,Distributor_9,Hypermarket,Pepsi 1.25L,Beverage,37,67.13,5,2359.77,0,Rep_3,Returning,2573
INV005666,2023-01-05,East,Bihar,Patna,Distributor_4,Hypermarket,Pepsi 1.25L,Beverage,145,71.82,5,9892.58,0,Rep_7,Returning,4578
INV007708,2023-01-06,South,Telangana,Hyderabad,Distributor_12,Hypermarket,Lays Masala 52g,Snack,244,19.33,2,4621.84,1,Rep_5,New,2413
INV003647,2023-01-06,North,Punjab,Ludhiana,Distributor_6,Supermarket,Mirinda 500ml,Beverage,151,29.76,5,4269.74,0,Rep_17,Returning,2518
INV000657,2023-01-06,North,Uttar Pradesh,Noida,Distributor_2,Hypermarket,Pepsi 1.25L,Beverage,41,69.07,5,2690.34,0,Rep_20,Returning,1636
INV005823,2023-01-06,West,Maharashtra,Pune,Distributor_15,Supermarket,Pepsi 500ml,Beverage,70,34.71,0,2429.52,0,Rep_7,New,1431
INV004882,2023-01-06,West,Rajasthan,Jaipur,Distributor_5,HoReCa,Quaker Oats 1kg,Grocery,79,188.47,0,14888.91,0,Rep_6,New,4560
INV005869,2023-01-06,North,Uttar Pradesh,Lucknow,Distributor_10,Supermarket,Quaker Oats 1kg,Grocery,77,173.21,5,12669.96,2,Rep_10,Returning,1315
INV001768,2023-01-06,North,Punjab,Ludhiana,Distributor_8,Kirana,7UP 500ml,Beverage,94,28.72,5,2564.76,1,Rep_15,Returning,1341
INV010805,2023-01-06,South,Tamil Nadu,Madurai,Distributor_6,Supermarket,Pepsi 500ml,Beverage,43,35.21,5,1438.21,0,Rep_1,Returning,3514
INV011826,2023-01-06,South,Karnataka,Bengaluru,Distributor_12,HoReCa,Tropicana Mixed Fruit 1L,Juice,78,109.57,10,7691.64,0,Rep_15,New,4636
INV009082,2023-01-06,North,Haryana,Gurugram,Distributor_8,HoReCa,Pepsi 500ml,Beverage,117,34.27,0,4009.57,1,Rep_4,New,4598
